,page,country,rev_id,rev_ids,ratings
14,List of politicians in Poland,Poland,516633096,516633096,
21,Tingtingru,Vanuatu,550682925,550682925,
51,Daud Arsala,Afghanistan,627547024,627547024,
204,Bharat Saud,Nepal,671484594,671484594,
301,Robert Sych,Poland,684023803,684023803,
302,Marek Krzysztof Jeleniewski,Poland,684023859,684023859,
483,Narayani Datt Chataut,Nepal,698572327,698572327,
547,Mohammad Amjad,Pakistan,699260156,699260156,
736,Gomez das Mariñas,Spain,703773782,703773782,
1183,Kamlesh Arya,Fiji,706810694,706810694,
1626,Khaled Aghbariyya,Israel,709508670,709508670,
1968,Panu Laturi,Finland,711288191,711288191,
2228,Łukasz Kowalski,Poland,712872338,712872338,
2229,Blanka Olszewska,Poland,712872421,712872421,
2230,Janusz Jerzy Drozdalski,Poland,712872473,712872473,
2231,Piotr Michał Trzaska,Poland,712872531,712872531,
2232,Anna Teresa Piórkowska,Poland,712873183,712873183,
2233,Edward Ignacy Hartwich,Poland,712873308,712873308,
2234,Lech Andrzej Zagłoba-Zygler,Poland,712873386,712873386,
2240,Elżbieta Teresa Rusielewicz,Poland,712878000,712878000,
2241,Adam Wojciech Fórmaniak,Poland,712878267,712878267,
2242,Zbigniew Józef Sobociński,Poland,712878343,712878343,
2243,Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,712878396,
2245,Jarosław Wenderlich,Poland,712881543,712881543,
2246,Ewa Joanna Starosta,Poland,712881676,712881676,
2247,Stanisław Grodzicki (politician),Poland,712881741,712881741,
2248,Tadeusz Mirosław Kondrusiewicz,Poland,712881882,712881882,
2251,Wojciech Hieronim Nowacki,Poland,712889562,712889562,
2252,Jacek Rosół,Poland,712889594,712889594,
2253,Tomasz Jan Rega,Poland,712889683,712889683,
2254,Marek Henryk Gralik,Poland,712889781,712889781,
2255,Michał Piotr Sztybel,Poland,712889809,712889809,
2256,Jacek Andrzej Bukowski,Poland,712891291,712891291,
2257,Kazimierz Drozd,Poland,712891354,712891354,
2258,Lech Stanisław Lewandowski,Poland,712891378,712891378,
