,page,country,rev_id,rev_ids,ratings,Geography,Population mid-2018 (millions)
97,Information Minister of the Palestinian National Authority,palestinian territory,393276188.0,393276188.0,Stub,,
98,Finance Minister of the Palestinian National Authority,palestinian territory,596181202.0,596181202.0,Start,,
99,Planning Minister of the Palestinian National Authority,palestinian territory,633612729.0,633612729.0,Start,,
100,Hossam Arafat (politician),palestinian territory,680933208.0,680933208.0,Stub,,
101,Tawfik Tirawi,palestinian territory,701106976.0,701106976.0,Start,,
102,Isam al-Qadi,palestinian territory,706650943.0,706650943.0,Stub,,
103,Hussein al-Araj,palestinian territory,707669406.0,707669406.0,Stub,,
104,Mohammad Barghouti,palestinian territory,708269321.0,708269321.0,Stub,,
105,Ahmed Khalidi,palestinian territory,708495719.0,708495719.0,Stub,,
106,Health Minister of the Palestinian National Authority,palestinian territory,708817890.0,708817890.0,Stub,,
107,Qais Abd al-Karim,palestinian territory,709529097.0,709529097.0,Stub,,
108,Mahmoud Aloul,palestinian territory,709567584.0,709567584.0,Stub,,
109,Victor Batarseh,palestinian territory,709994434.0,709994434.0,Stub,,
110,Hanna Nasser (academic),palestinian territory,710133339.0,710133339.0,Start,,
111,Anastas Hanania,palestinian territory,710390049.0,710390049.0,Start,,
112,Joudeh George Murqos,palestinian territory,710676772.0,710676772.0,Stub,,
113,Ali al-Sartawi,palestinian territory,710990363.0,710990363.0,Stub,,
114,Jamal Tirawi,palestinian territory,712310215.0,712310215.0,Start,,
115,Samir Abu Eisheh,palestinian territory,713203735.0,713203735.0,Stub,,
116,Sami Taha,palestinian territory,713505054.0,713505054.0,Start,,
117,Ayyub Musallam,palestinian territory,714176771.0,714176771.0,Stub,,
118,Hajj Essa Hamed,palestinian territory,714181175.0,714181175.0,Stub,,
119,Hasan Tahboub,palestinian territory,714208891.0,714208891.0,Stub,,
120,Hanna Nasser,palestinian territory,714586856.0,714586856.0,Stub,,
121,Ghazi Hanania,palestinian territory,715125381.0,715125381.0,Stub,,
122,Amin Abd al-Hadi,palestinian territory,716425885.0,716425885.0,Stub,,
123,Samir Hulileh,palestinian territory,717174805.0,717174805.0,Start,,
124,Hatem Qafisha,palestinian territory,717350346.0,717350346.0,Stub,,
125,Nayef Rajoub,palestinian territory,717907429.0,717907429.0,Stub,,
126,Ghassan Shakaa,palestinian territory,720225559.0,720225559.0,Stub,,
127,Salim Zanoun,palestinian territory,720541817.0,720541817.0,Stub,,
128,Ahmad Bahar (Palestinian politician),palestinian territory,725592476.0,725592476.0,Stub,,
129,Umm Nidal,palestinian territory,729635985.0,729635985.0,C,,
130,Aref al-Dajani,palestinian territory,730565205.0,730565205.0,Start,,
131,Faed Mustafa,palestinian territory,730612889.0,730612889.0,Stub,,
132,Interior Minister of the Palestinian National Authority,palestinian territory,734366909.0,734366909.0,C,,
133,Samiha Khalil,palestinian territory,737316891.0,737316891.0,Start,,
134,Imil Jarjoui,palestinian territory,738485209.0,738485209.0,Stub,,
135,Abu Zakaria al-Jamal,palestinian territory,740251014.0,740251014.0,Stub,,
136,Mustafa al-Khalidi,palestinian territory,740562507.0,740562507.0,Stub,,
137,Samir Ghawshah,palestinian territory,741240899.0,741240899.0,Start,,
138,Fuad Kokaly,palestinian territory,742810698.0,742810698.0,Stub,,
139,Janet Mikhail,palestinian territory,742930612.0,742930612.0,Stub,,
140,Hind Khoury,palestinian territory,744229617.0,744229617.0,Stub,,
141,Saloum Cohen,palestinian territory,744680083.0,744680083.0,Stub,,
142,Ahmed Majdalani,palestinian territory,745445418.0,745445418.0,Start,,
143,Faidi al-Alami,palestinian territory,746561126.0,746561126.0,Stub,,
144,Arafat scarf,palestinian territory,752269980.0,752269980.0,Stub,,
145,Zuhir al-Qaisi,palestinian territory,754951299.0,754951299.0,C,,
146,Mohammed Shabir,palestinian territory,754960024.0,754960024.0,Start,,
147,Said Seyam,palestinian territory,755358806.0,755358806.0,C,,
148,Atef Adwan,palestinian territory,756834998.0,756834998.0,Start,,
149,Moussa Arafat,palestinian territory,756836183.0,756836183.0,Start,,
150,Khouloud Daibes,palestinian territory,757565638.0,757565638.0,Stub,,
151,Nahid al-Rayyis,palestinian territory,759387598.0,759387598.0,Start,,
152,Rawhi Fattouh,palestinian territory,760357919.0,760357919.0,Start,,
153,Wasfi Kabha,palestinian territory,760375386.0,760375386.0,Stub,,
154,Omar Hammayil,palestinian territory,760380012.0,760380012.0,Stub,,
155,Mohammed Milhim,palestinian territory,760380700.0,760380700.0,Stub,,
156,Faisal Husseini,palestinian territory,765742925.0,765742925.0,Start,,
157,Haidar Abdel-Shafi,palestinian territory,766784372.0,766784372.0,Start,,
158,Nasser al-Shaer,palestinian territory,766840809.0,766840809.0,Start,,
159,Omar Abd al-Razaq,palestinian territory,766847361.0,766847361.0,Stub,,
160,Adnan al-Husayni,palestinian territory,767482479.0,767482479.0,Stub,,
161,Ziad Abu Amr,palestinian territory,767881055.0,767881055.0,Start,,
162,Ziad Abuzayyad,palestinian territory,768374386.0,768374386.0,Start,,
163,Azzam al-Ahmad,palestinian territory,769135700.0,769135700.0,Stub,,
164,Leila Shahid,palestinian territory,769328020.0,769328020.0,Start,,
165,Sharm El Sheikh Memorandum,palestinian territory,771217707.0,771217707.0,Start,,
166,Hussein al-Husayni,palestinian territory,773002344.0,773002344.0,Start,,
