,article_name,country,revision_id,article_quality,population
0,Bir I of Kanem,chad,355319463.0,Stub,15400000
1,Abdullah II of Kanem,chad,498683267.0,Stub,15400000
2,Salmama II of Kanem,chad,565745353.0,Stub,15400000
3,Kuri I of Kanem,chad,565745365.0,Stub,15400000
4,Mohammed I of Kanem,chad,565745375.0,Stub,15400000
5,Kuri II of Kanem,chad,669719757.0,Stub,15400000
6,Bir II of Kanem,chad,670893206.0,Stub,15400000
7,Mahamat Hissene,chad,693055898.0,Stub,15400000
8,Othman I,chad,705432607.0,Stub,15400000
9,Alphonse Kotiga,chad,707593108.0,Stub,15400000
10,Oueddei Kichidemi,chad,708346649.0,Start,15400000
11,Dunama I,chad,710675092.0,Stub,15400000
12,Ahmad (Kanem-Bornu king),chad,711388267.0,Stub,15400000
13,Djibrine Kerallah,chad,712971263.0,Stub,15400000
14,Maurice Ngangtar,chad,712971315.0,Stub,15400000
15,Idriss Miskine,chad,712971738.0,Stub,15400000
16,Laoukein Kourayo Médard,chad,716886170.0,Stub,15400000
17,Nadji Madou,chad,716886788.0,Stub,15400000
18,Noël Milarew Odingar,chad,716891799.0,Start,15400000
19,Yaya Dillo Djérou,chad,717733209.0,Stub,15400000
20,Acheikh Ibn-Oumar,chad,719821590.0,Start,15400000
21,Quatre Sou Quatre,chad,720066754.0,Stub,15400000
22,Ali Gazi,chad,722563340.0,Stub,15400000
23,Mahamat Djarma Khatir,chad,725132042.0,Stub,15400000
24,Dunama IX Lefiami,chad,731749611.0,Stub,15400000
25,Dawud of Kanem,chad,736550266.0,Stub,15400000
26,Ahmed Koulamallah,chad,738855197.0,Start,15400000
27,Abbo Nassour,chad,741369486.0,C,15400000
28,Abdel Kader Baba-Laddé,chad,742213176.0,Stub,15400000
29,Hummay,chad,747271475.0,Stub,15400000
30,Ngarlejy Yorongar,chad,751304544.0,C,15400000
31,Saleh Kezabo,chad,751380073.0,Stub,15400000
32,Bourkou Louise Kabo,chad,757072468.0,Start,15400000
33,Brahim Koulamallah,chad,757802238.0,Stub,15400000
34,Saadie Goukouni Weddeye,chad,757842614.0,Start,15400000
35,Mahamoud Adam Béchir,chad,762579466.0,Start,15400000
36,Kalthouma Nguembang,chad,762816132.0,Stub,15400000
37,Djidingar Dono Ngardoum,chad,764133533.0,Stub,15400000
38,Youssouf Saleh Abbas,chad,771052289.0,B,15400000
39,Koibla Djimasta,chad,774223245.0,Start,15400000
40,Nassour Guelendouksia Ouaido,chad,774223248.0,C,15400000
41,Joseph Brahim Seid,chad,777478442.0,Stub,15400000
42,Joseph Yodoyman,chad,777550078.0,Start,15400000
43,Antoine Bangui,chad,782638002.0,Start,15400000
