Geography,Population mid-2018 (millions),continent
Algeria,42.7,AFRICA
Egypt,97,AFRICA
Libya,6.5,AFRICA
Morocco,35.2,AFRICA
Sudan,41.7,AFRICA
Tunisia,11.6,AFRICA
Western Sahara,0.6,AFRICA
Benin,11.5,AFRICA
Burkina Faso,20.3,AFRICA
Cape Verde,0.6,AFRICA
Cote d'Ivoire,24.9,AFRICA
Gambia,2.2,AFRICA
Ghana,29.5,AFRICA
Guinea,11.9,AFRICA
Guinea-Bissau,1.9,AFRICA
Liberia,4.9,AFRICA
Mali,19.4,AFRICA
Mauritania,4.5,AFRICA
Niger,22.2,AFRICA
Nigeria,195.9,AFRICA
Senegal,16.3,AFRICA
Sierra Leone,7.7,AFRICA
Togo,8,AFRICA
Burundi,11.8,AFRICA
Comoros,0.8,AFRICA
Djibouti,1,AFRICA
Eritrea,6,AFRICA
Ethiopia,107.5,AFRICA
Kenya,51,AFRICA
Madagascar,26.3,AFRICA
Malawi,19.1,AFRICA
Mauritius,1.3,AFRICA
Mozambique,30.5,AFRICA
Rwanda,12.6,AFRICA
Seychelles,0.1,AFRICA
Somalia,15.2,AFRICA
South Sudan,13,AFRICA
Tanzania,59.1,AFRICA
Uganda,44.1,AFRICA
Zambia,17.7,AFRICA
Zimbabwe,14,AFRICA
Angola,30.4,AFRICA
Cameroon,25.6,AFRICA
Central African Republic,4.7,AFRICA
Chad,15.4,AFRICA
Congo,5.4,AFRICA
"Congo, Dem. Rep.",84.3,AFRICA
Equatorial Guinea,1.3,AFRICA
Gabon,2.1,AFRICA
Sao Tome and Principe,0.2,AFRICA
Botswana,2.2,AFRICA
eSwatini,1.4,AFRICA
Lesotho,2.3,AFRICA
Namibia,2.5,AFRICA
South Africa,57.7,AFRICA
Canada,37.2,NORTHERN AMERICA
United States,328,NORTHERN AMERICA
Belize,0.4,LATIN AMERICA AND THE CARIBBEAN
Costa Rica,5,LATIN AMERICA AND THE CARIBBEAN
El Salvador,6.5,LATIN AMERICA AND THE CARIBBEAN
Guatemala,17.2,LATIN AMERICA AND THE CARIBBEAN
Honduras,9,LATIN AMERICA AND THE CARIBBEAN
Mexico,130.8,LATIN AMERICA AND THE CARIBBEAN
Nicaragua,6.3,LATIN AMERICA AND THE CARIBBEAN
Panama,4.2,LATIN AMERICA AND THE CARIBBEAN
Antigua and Barbuda,0.1,LATIN AMERICA AND THE CARIBBEAN
Bahamas,0.4,LATIN AMERICA AND THE CARIBBEAN
Barbados,0.3,LATIN AMERICA AND THE CARIBBEAN
Cuba,11.1,LATIN AMERICA AND THE CARIBBEAN
Curacao,0.2,LATIN AMERICA AND THE CARIBBEAN
Dominica,0.07,LATIN AMERICA AND THE CARIBBEAN
Dominican Republic,10.8,LATIN AMERICA AND THE CARIBBEAN
Grenada,0.1,LATIN AMERICA AND THE CARIBBEAN
Haiti,10.8,LATIN AMERICA AND THE CARIBBEAN
Jamaica,2.9,LATIN AMERICA AND THE CARIBBEAN
Puerto Rico,3.3,LATIN AMERICA AND THE CARIBBEAN
St. Kitts-Nevis,0.05,LATIN AMERICA AND THE CARIBBEAN
Saint Lucia,0.2,LATIN AMERICA AND THE CARIBBEAN
St. Vincent and the Grenadines,0.1,LATIN AMERICA AND THE CARIBBEAN
Trinidad and Tobago,1.4,LATIN AMERICA AND THE CARIBBEAN
Argentina,44.5,LATIN AMERICA AND THE CARIBBEAN
Bolivia,11.3,LATIN AMERICA AND THE CARIBBEAN
Brazil,209.4,LATIN AMERICA AND THE CARIBBEAN
Chile,18.6,LATIN AMERICA AND THE CARIBBEAN
Colombia,49.8,LATIN AMERICA AND THE CARIBBEAN
Ecuador,17,LATIN AMERICA AND THE CARIBBEAN
Guyana,0.8,LATIN AMERICA AND THE CARIBBEAN
Paraguay,6.9,LATIN AMERICA AND THE CARIBBEAN
Peru,32.2,LATIN AMERICA AND THE CARIBBEAN
Suriname,0.6,LATIN AMERICA AND THE CARIBBEAN
Uruguay,3.5,LATIN AMERICA AND THE CARIBBEAN
Venezuela,31.8,LATIN AMERICA AND THE CARIBBEAN
Armenia,3,ASIA
Azerbaijan,9.9,ASIA
