,rev_ids,ratings
0,235107991,
1,355319463,Stub
2,391862046,Stub
3,391862070,Stub
4,391862409,Stub
5,391862819,Stub
6,391863340,Stub
7,391863361,Stub
8,391863617,Stub
9,391863809,Stub
10,393276188,Stub
11,393298432,Stub
12,393822005,Stub
13,394482629,Stub
14,394482891,Stub
15,394580295,Stub
16,394580630,Stub
17,394580939,Stub
18,394580993,Stub
19,394581284,Stub
20,394581557,Stub
21,394587483,Stub
22,394587547,Stub
23,395521877,Stub
24,395526568,Stub
25,401577829,Stub
26,413885084,Stub
27,433871129,Stub
28,433871165,Stub
29,435008715,Stub
30,437454659,Stub
31,437735138,Stub
32,438305657,Stub
33,439671509,Stub
34,439708117,Stub
35,440397578,Stub
36,440594068,Stub
37,440598656,Stub
38,441172886,Stub
39,441186581,Stub
40,441771813,Stub
41,441995465,Stub
42,442411422,Stub
43,442913438,Stub
44,442937236,Stub
45,443468553,Stub
46,443469862,Stub
47,443470532,Stub
48,443496992,Stub
49,443497423,Stub
50,443497605,Stub
51,443498496,Stub
52,443499145,Stub
53,443499367,Stub
54,443521996,Stub
55,443628777,Stub
56,443632023,Stub
57,443633073,Stub
58,443634517,Stub
59,443640939,Stub
60,443641865,Stub
61,444002354,Stub
62,444023126,Stub
63,444023605,Stub
64,444023818,Stub
65,444031013,Stub
66,444036980,Stub
67,444371643,Stub
68,444373997,Stub
69,444377000,Stub
70,444381930,Stub
71,444431830,Stub
72,444756008,Stub
73,444756369,Stub
74,444759010,Stub
75,444762949,Stub
76,444766243,Stub
77,444766443,Stub
78,444767261,Stub
79,444767517,Stub
80,444767727,Stub
81,444767985,Stub
82,445199467,Stub
83,445225417,Stub
84,445365862,Stub
85,445403015,Stub
86,445676138,Stub
87,446008048,Stub
88,446011535,Stub
89,446019004,Stub
90,446192353,Stub
91,446194245,Stub
92,446196171,Stub
93,446200358,Stub
94,446202781,Stub
95,446205420,Stub
96,446207794,Stub
97,446214240,Stub
98,446219671,Stub
99,446221243,Stub
100,446222994,Stub
101,446465586,Stub
102,446468308,Stub
103,447694868,Stub
104,447696094,Stub
105,448555418,Stub
106,450168181,Stub
107,455747046,Stub
108,455961992,Stub
109,456370038,Stub
110,468942507,Stub
111,470173494,Start
112,470905661,Stub
113,471851224,Stub
114,477962574,Stub
115,481837976,Stub
116,488705675,Stub
117,492060822,Stub
118,492964343,Stub
119,495124898,Stub
120,496528097,Stub
121,496900283,Stub
122,498683267,Stub
123,502721672,C
124,503442332,Stub
125,508253799,Stub
126,516633096,
127,519257222,Stub
128,521986779,Stub
129,527463943,Stub
130,529588432,Stub
131,530047771,Stub
132,530242215,Stub
133,530284522,Stub
134,530322698,Stub
135,530323140,Stub
136,530323678,Stub
137,530544520,Stub
138,530554988,Stub
139,530739845,Stub
140,530740001,Stub
141,530742252,Stub
142,530744043,Stub
143,531458172,Stub
144,531459628,Stub
145,532253442,Stub
146,535173663,Stub
147,535403481,Stub
148,535403528,Stub
149,535414539,Stub
150,535414570,Stub
151,535414592,Stub
152,535414613,Stub
153,535414628,Stub
154,535414676,Stub
155,535415787,Stub
156,535444722,Stub
157,535446024,Stub
158,535446071,Stub
159,535446127,Stub
160,535446167,Stub
161,535446194,Stub
162,535446209,Stub
163,535446218,Stub
164,535446243,Stub
165,535498320,Stub
166,536462949,Stub
167,539244575,Stub
168,539244631,Stub
169,539551401,Stub
170,539551660,Stub
171,539551701,Stub
172,540004474,Stub
173,540004518,Stub
174,540100985,Stub
175,540117421,Stub
176,540379020,Stub
177,540459929,Stub
178,540465312,Stub
179,540468218,Stub
180,540963885,Stub
181,540974764,Stub
182,540988222,Stub
183,540992721,Stub
184,540993236,Stub
185,540993708,Stub
186,540993715,Stub
187,540993917,Stub
188,540994040,Stub
189,540994071,Stub
190,540994162,Stub
191,540996332,Stub
192,540996389,Stub
193,540996510,Stub
194,540996703,Stub
195,540996796,Stub
196,540997088,Stub
