club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Ajax Amsterdam,Daley Sinkgraven,19,Left-Back,Heerenveen,£6.30m,in,Netherlands;,6.3,Eredivisie,2014,2014/2015
Ajax Amsterdam,Richairo Zivkovic,17,Centre-Forward,FC Groningen,£1.94m,in,Netherlands;Serbia;,1.94,Eredivisie,2014,2014/2015
Ajax Amsterdam,Nick Viergever,24,Centre-Back,AZ Alkmaar,£1.80m,in,Netherlands;,1.8,Eredivisie,2014,2014/2015
Ajax Amsterdam,Diederik Boer,33,Goalkeeper,PEC Zwolle,£900k,in,Netherlands;,0.9,Eredivisie,2014,2014/2015
Ajax Amsterdam,Niki Zimling,29,Defensive Midfield,1.FSV Mainz 05,Loan fee:£450k,in,Denmark;,0.45,Eredivisie,2014,2014/2015
Ajax Amsterdam,André Onana,18,Goalkeeper,Barça U19,£135k,in,Cameroon;,0.135,Eredivisie,2014,2014/2015
Ajax Amsterdam,Arkadiusz Milik,20,Centre-Forward,Bay. Leverkusen,Loan,in,Poland;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Riechedly Bazoer,17,Central Midfield,Ajax U21,-,in,Netherlands;Curacao;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Peter Leeuwenburgh,20,Goalkeeper,Ajax U21,-,in,Netherlands;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Kenny Tete,18,Right-Back,Ajax U21,-,in,Netherlands;Mozambique;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Anwar El Ghazi,19,Right Winger,Ajax U19,-,in,Netherlands;Morocco;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Ricardo Kishna,19,Left Winger,Ajax U21,-,in,Netherlands;Suriname;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Mitchell Dijks,21,Left-Back,Heerenveen,"End of loanJun 30, 2014",in,Netherlands;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Eyong Enoh,28,Defensive Midfield,Antalyaspor,"End of loanJun 30, 2014",in,Cameroon;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Danny Hoesen,23,Centre-Forward,PAOK Salonika,"End of loanJun 30, 2014",in,Netherlands;Morocco;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Jody Lukoki,21,Right Winger,SC Cambuur,"End of loanJun 30, 2014",in,DR Congo;Netherlands;,0,Eredivisie,2014,2014/2015
Ajax Amsterdam,Daley Blind,24,Centre-Back,Man Utd,£15.75m,out,Netherlands;,15.75,Eredivisie,2014,2014/2015
Ajax Amsterdam,Siem de Jong,25,Attacking Midfield,Newcastle,£7.83m,out,Netherlands;,7.83,Eredivisie,2014,2014/2015
Ajax Amsterdam,Stefano Denswil,21,Centre-Back,Club Brugge,£1.08m,out,Netherlands;Suriname;,1.08,Eredivisie,2014,2014/2015
Ajax Amsterdam,Kenneth Vermeer,28,Goalkeeper,Feyenoord,£900k,out,Netherlands;Suriname;,0.9,Eredivisie,2014,2014/2015
Ajax Amsterdam,Danny Hoesen,23,Centre-Forward,FC Groningen,£720k,out,Netherlands;Morocco;,0.72,Eredivisie,2014,2014/2015
Ajax Amsterdam,Jody Lukoki,21,Right Winger,PEC Zwolle,£450k,out,DR Congo;Netherlands;,0.45,Eredivisie,2014,2014/2015
Ajax Amsterdam,Eyong Enoh,28,Defensive Midfield,Antalyaspor,£315k,out,Cameroon;,0.315,Eredivisie,2014,2014/2015
Ajax Amsterdam,Mitchell Dijks,21,Left-Back,Willem II,Free transfer,out,Netherlands;,NA,Eredivisie,2014,2014/2015
