club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Cardiff City,David Hughes,23,Left-Back,Shrewsbury,£630k,in,Wales;,0.63,Championship,2000,2000/2001
Cardiff City,Rhys Weston,20,Right-Back,Arsenal,£405k,in,Wales;,0.405,Championship,2000,2000/2001
Cardiff City,Gavin Gordon,21,Centre-Forward,Lincoln City,£360k,in,England;,0.36,Championship,2000,2000/2001
Cardiff City,Danny Gabbidon,21,Centre-Back,West Brom,£234k,in,Wales;,0.234,Championship,2000,2000/2001
Cardiff City,Kyle Lightbourne,32,Forward,Stoke City,Loan,in,Bermuda;,0,Championship,2000,2000/2001
Cardiff City,Mark Walton,31,Goalkeeper,Brighton,Free transfer,in,Wales;,NA,Championship,2000,2000/2001
Cardiff City,James Harper,20,Central Midfield,Arsenal,Loan,in,England;Ghana;,0,Championship,2000,2000/2001
Cardiff City,Paul Brayson,22,Forward,Reading,Free transfer,in,England;,NA,Championship,2000,2000/2001
Cardiff City,Ian Feuer,29,Goalkeeper,Colorado,Free transfer,in,United States;,NA,Championship,2000,2000/2001
Cardiff City,Andy Thompson,32,Defender,Tranmere Rovers,Free transfer,in,England;,NA,Championship,2000,2000/2001
Cardiff City,Andy Jordan,20,Defender,Bristol City,£33k,in,Scotland;,0.033,Championship,2000,2000/2001
Cardiff City,Scott McCulloch,24,Left-Back,Dundee United,?,in,Scotland;,NA,Championship,2000,2000/2001
Cardiff City,David Greene,26,Defender,Colchester Utd.,?,in,Ireland;,NA,Championship,2000,2000/2001
Cardiff City,Gethin Jones,18,Centre-Back,Cardiff U18,-,in,Wales;,0,Championship,2000,2000/2001
Cardiff City,Christian Roberts,20,Centre-Forward,Exeter City,Free transfer,out,Wales;,NA,Championship,2000,2000/2001
Cardiff City,Jon Hallworth,35,Goalkeeper,Newport County,Free transfer,out,England;,NA,Championship,2000,2000/2001
Cardiff City,Russell Perrett,27,Centre-Back,Luton,Free transfer,out,England;,NA,Championship,2000,2000/2001
Cardiff City,Ian Feuer,29,Goalkeeper,West Ham,Free transfer,out,United States;,NA,Championship,2000,2000/2001
Cardiff City,Richard Carpenter,27,Central Midfield,Brighton,Free transfer,out,England;,NA,Championship,2000,2000/2001
Cardiff City,David Greene,27,Defender,Cambridge Utd.,?,out,Ireland;,NA,Championship,2000,2000/2001
Cardiff City,Winston Faerber,29,Right-Back,FC Den Bosch,?,out,Netherlands;,NA,Championship,2000,2000/2001
Cardiff City,Jörn Schwinkendorf,29,Centre-Back,VfL Osnabrück,?,out,Germany;,NA,Championship,2000,2000/2001
Cardiff City,James Harper,20,Central Midfield,Arsenal,"End of loanJan 25, 2001",out,England;Ghana;,0,Championship,2000,2000/2001
Cardiff City,Kyle Lightbourne,32,Forward,Stoke City,"End of loanMar 1, 2001",out,Bermuda;,0,Championship,2000,2000/2001
Fulham FC,Alain Goma,28,Centre-Back,Newcastle,£5.40m,in,France;,5.4,Championship,2000,2000/2001
Fulham FC,Louis Saha,21,Centre-Forward,FC Metz,£2.84m,in,France;Guadeloupe;,2.84,Championship,2000,2000/2001
Fulham FC,Andrejs Stolcers,26,Attacking Midfield,Shakhtar D.,£2.70m,in,Latvia;,2.7,Championship,2000,2000/2001
Fulham FC,John Collins,32,Left Midfield,Everton,£2.48m,in,Scotland;,2.48,Championship,2000,2000/2001
Fulham FC,Bjarne Goldbaek,32,Central Midfield,Chelsea,£878k,in,Denmark;,0.878,Championship,2000,2000/2001
Fulham FC,Kieran McAnespie,20,Left-Back,St. Johnstone,£108k,in,Scotland;,0.108,Championship,2000,2000/2001
Fulham FC,Fabrice Fernandes,20,Left Winger,Stade Rennais,Loan,in,France;,0,Championship,2000,2000/2001
Fulham FC,Luís Boa Morte,22,Left Midfield,Southampton,Loan,in,Portugal;Sao Tome and Principe;,0,Championship,2000,2000/2001
Fulham FC,Nicolas Sahnoun,20,Defensive Midfield,G. Bordeaux,Loan,in,France;,0,Championship,2000,2000/2001
Fulham FC,Glyn Thompson,19,Goalkeeper,Shrewsbury,"End of loanFeb 1, 2001",in,England;,0,Championship,2000,2000/2001
Fulham FC,Luke Cornwall,20,Centre-Forward,Grimsby Town,"End of loanMay 8, 2001",in,England;Australia;,0,Championship,2000,2000/2001
Fulham FC,Calum Willock,18,Centre-Forward,Fulham U18,-,in,St. Kitts & Nevis;England;,0,Championship,2000,2000/2001
Fulham FC,Kieran McAnespie,21,Left-Back,Heart of Midl.,"End of loanMay 1, 2001",in,Scotland;,0,Championship,2000,2000/2001
Fulham FC,Elvis Hammond,19,Centre-Forward,Fulham U18,-,in,Ghana;England;,0,Championship,2000,2000/2001
Fulham FC,Paul Peschisolido,29,Centre-Forward,Sheffield Utd.,"End of loanMar 1, 2001",in,Canada;Italy;,0,Championship,2000,2000/2001
Fulham FC,Paul Peschisolido,29,Centre-Forward,Norwich,"End of loanMay 1, 2001",in,Canada;Italy;,0,Championship,2000,2000/2001
Fulham FC,Geoff Horsfield,26,Centre-Forward,Birmingham,£3.04m,out,England;,3.04,Championship,2000,2000/2001
Fulham FC,Glyn Thompson,19,Goalkeeper,Shrewsbury,Loan,out,England;,0,Championship,2000,2000/2001
Fulham FC,Dirk Lehmann,28,Attacking Midfield,Hibernian FC,Free transfer,out,Germany;,NA,Championship,2000,2000/2001
Fulham FC,André Arendse,33,Goalkeeper,Oxford United,Free transfer,out,South Africa;,NA,Championship,2000,2000/2001
Fulham FC,Paul Peschisolido,29,Centre-Forward,Sheffield Utd.,Loan,out,Canada;Italy;,0,Championship,2000,2000/2001
