club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Arsenal FC,Alex Oxlade-Chamberlain,17,Central Midfield,Southampton,£12.42m,in,England;,12.42,Premier League,2011,2011/2012
Arsenal FC,Gervinho,24,Left Winger,LOSC Lille,£10.80m,in,Cote d'Ivoire;,10.8,Premier League,2011,2011/2012
Arsenal FC,Mikel Arteta,29,Central Midfield,Everton,£10.80m,in,Spain;,10.8,Premier League,2011,2011/2012
Arsenal FC,Per Mertesacker,26,Centre-Back,Werder Bremen,£10.17m,in,Germany;,10.17,Premier League,2011,2011/2012
Arsenal FC,André Santos,28,Attacking Midfield,Fenerbahce,£6.30m,in,Brazil;,6.3,Premier League,2011,2011/2012
Arsenal FC,Ju-yeong Park,26,Centre-Forward,Monaco,£5.85m,in,"Korea, South;",5.85,Premier League,2011,2011/2012
Arsenal FC,Carl Jenkinson,19,Right-Back,Charlton,£1.01m,in,England;Finland;,1.01,Premier League,2011,2011/2012
Arsenal FC,Joel Campbell,19,Right Winger,Saprissa,£900k,in,Costa Rica;,0.9,Premier League,2011,2011/2012
Arsenal FC,Thomas Eisfeld,19,Attacking Midfield,B. Dortmund U19,£675k,in,Germany;,0.675,Premier League,2011,2011/2012
Arsenal FC,Yossi Benayoun,31,Right Winger,Chelsea,Loan,in,Israel;,0,Premier League,2011,2011/2012
Arsenal FC,Thierry Henry,34,Centre-Forward,NY Red Bulls,Loan,in,France;Guadeloupe;,0,Premier League,2011,2011/2012
Arsenal FC,Pedro Botelho,22,Left-Back,Rayo Vallecano,"End of loanJan 19, 2012",in,Brazil;,0,Premier League,2011,2011/2012
Arsenal FC,Nico Yennaris,18,Defensive Midfield,Arsenal U18,-,in,China;England;,0,Premier League,2011,2011/2012
Arsenal FC,Ignasi Miquel,18,Centre-Back,Arsenal Res.,-,in,Spain;,0,Premier League,2011,2011/2012
Arsenal FC,Henri Lansbury,21,Central Midfield,West Ham,"End of loanMay 20, 2012",in,England;,0,Premier League,2011,2011/2012
Arsenal FC,Sanchez Watt,21,Left Winger,Crawley Town,"End of loanMay 31, 2012",in,England;Jamaica;,0,Premier League,2011,2011/2012
Arsenal FC,Andrey Arshavin,31,Second Striker,Zenit S-Pb,"End of loanMay 31, 2012",in,Russia;,0,Premier League,2011,2011/2012
