club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
SC Bastia,Luka Kikabidze,19,Left Midfield,FC Locomotive,£90k,in,Georgia;,0.09,Ligue 1,2014,2014/2015
SC Bastia,Gaël Danic,33,Left Winger,Olympique Lyon,Free transfer,in,France;,NA,Ligue 1,2014,2014/2015
SC Bastia,Lyes Houri,19,Central Midfield,Valenciennes B,Free transfer,in,France;Morocco;,NA,Ligue 1,2014,2014/2015
SC Bastia,Juan Pablo Pino,27,Right Winger,Olympiacos,Free transfer,in,Colombia;,NA,Ligue 1,2014,2014/2015
SC Bastia,Floyd Ayité,25,Left Winger,Reims,Free transfer,in,Togo;France;,NA,Ligue 1,2014,2014/2015
SC Bastia,Florian Marange,28,Left-Back,FC Sochaux,Free transfer,in,France;,NA,Ligue 1,2014,2014/2015
SC Bastia,Alphonse Areola,21,Goalkeeper,Paris SG,Loan,in,France;Philippines;,0,Ligue 1,2014,2014/2015
SC Bastia,Brandão,34,Centre-Forward,Saint-Étienne,Free transfer,in,Brazil;France;,NA,Ligue 1,2014,2014/2015
SC Bastia,Giovanni Sio,25,Centre-Forward,FC Basel,Loan,in,Cote d'Ivoire;France;,0,Ligue 1,2014,2014/2015
SC Bastia,Christopher Maboulou,24,Centre-Forward,LB Châteauroux,Free transfer,in,Congo;France;,NA,Ligue 1,2014,2014/2015
SC Bastia,Joao Rodríguez,18,Centre-Forward,Chelsea U21,Loan,in,Colombia;,0,Ligue 1,2014,2014/2015
SC Bastia,Hervin Ongenda,19,Attacking Midfield,Paris SG,Loan,in,France;DR Congo;,0,Ligue 1,2014,2014/2015
SC Bastia,Junior Tallo,21,Centre-Forward,AS Roma,Loan,in,Cote d'Ivoire;,0,Ligue 1,2014,2014/2015
SC Bastia,El-Hadji Ba,21,Defensive Midfield,Sunderland,Loan,in,France;Senegal;,0,Ligue 1,2014,2014/2015
SC Bastia,Mathieu Peybernes,23,Centre-Back,FC Sochaux,Free transfer,in,France;,NA,Ligue 1,2014,2014/2015
SC Bastia,Apodi,27,Right-Back,Querétaro FC,?,in,Brazil;,NA,Ligue 1,2014,2014/2015
SC Bastia,Benjamin Mokulu,24,Centre-Forward,KV Mechelen,Loan,in,DR Congo;Belgium;,0,Ligue 1,2014,2014/2015
SC Bastia,Guillaume Gillet,30,Defensive Midfield,RSC Anderlecht,Loan,in,Belgium;,0,Ligue 1,2014,2014/2015
SC Bastia,Famoussa Koné,20,Centre-Forward,SC Bastia B,-,in,Mali;,0,Ligue 1,2014,2014/2015
SC Bastia,Joseph Barbato,19,Centre-Forward,SC Bastia B,-,in,France;,0,Ligue 1,2014,2014/2015
SC Bastia,Cyril Fogacci,17,Goalkeeper,SC Bastia U19,-,in,France;,0,Ligue 1,2014,2014/2015
SC Bastia,Abdoulaye Keita,20,Defensive Midfield,SC Bastia B,-,in,Mali;,0,Ligue 1,2014,2014/2015
SC Bastia,Joseph Barbato,20,Centre-Forward,US Colomiers,"End of loanFeb 1, 2015",in,France;,0,Ligue 1,2014,2014/2015
SC Bastia,François Kamano,18,Left Winger,SC Bastia B,-,in,Guinea;,0,Ligue 1,2014,2014/2015
SC Bastia,Romain Achilli,21,Left-Back,SC Bastia B,-,in,France;,0,Ligue 1,2014,2014/2015
SC Bastia,Matthieu Sans,26,Centre-Back,G. Ajaccio,"End of loanJun 30, 2014",in,France;,0,Ligue 1,2014,2014/2015
SC Bastia,Christophe Vincent,21,Defensive Midfield,CA Bastia,"End of loanJun 30, 2014",in,France;,0,Ligue 1,2014,2014/2015
SC Bastia,Florent André,23,Left Winger,GS Consolat M.,"End of loanJun 30, 2014",in,France;,0,Ligue 1,2014,2014/2015
SC Bastia,Wahbi Khazri,23,Attacking Midfield,G. Bordeaux,£1.80m,out,Tunisia;France;,1.8,Ligue 1,2014,2014/2015
SC Bastia,Adama Ba,20,Right Winger,FC Niort,Loan,out,Mauritania;,0,Ligue 1,2014,2014/2015
SC Bastia,Féthi Harek,31,Left-Back,Nîmes Olympique,Free transfer,out,Algeria;France;,NA,Ligue 1,2014,2014/2015
SC Bastia,Matthieu Sans,26,Centre-Back,FC Niort,Free transfer,out,France;,NA,Ligue 1,2014,2014/2015
