club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Bayern Munich,Mats Hummels,27,Centre-Back,Bor. Dortmund,£31.50m,in,Germany;,31.5,1 Bundesliga,2016,2016/2017
Bayern Munich,Renato Sanches,18,Central Midfield,Benfica,£31.50m,in,Portugal;Sao Tome and Principe;,31.5,1 Bundesliga,2016,2016/2017
Bayern Munich,Niklas Dorsch,18,Defensive Midfield,FC Bayern II,-,in,Germany;,0,1 Bundesliga,2016,2016/2017
Bayern Munich,Fabian Benko,18,Attacking Midfield,FC Bayern II,-,in,Croatia;Germany;,0,1 Bundesliga,2016,2016/2017
Bayern Munich,Pierre-Emile Höjbjerg,20,Central Midfield,FC Schalke 04,"End of loanJun 30, 2016",in,Denmark;France;,0,1 Bundesliga,2016,2016/2017
Bayern Munich,Mario Götze,24,Centre-Forward,Bor. Dortmund,£19.80m,out,Germany;,19.8,1 Bundesliga,2016,2016/2017
Bayern Munich,Pierre-Emile Höjbjerg,20,Central Midfield,Southampton,£13.50m,out,Denmark;France;,13.5,1 Bundesliga,2016,2016/2017
Bayern Munich,Sebastian Rode,25,Central Midfield,Bor. Dortmund,£10.80m,out,Germany;,10.8,1 Bundesliga,2016,2016/2017
Bayern Munich,Medhi Benatia,29,Centre-Back,Juventus,Loan fee:£2.70m,out,Morocco;France;,2.7,1 Bundesliga,2016,2016/2017
Bayern Munich,Julian Green,21,Attacking Midfield,VfB Stuttgart,£270k,out,United States;Germany;,0.27,1 Bundesliga,2016,2016/2017
Bayern Munich,Ivan Lucic,21,Goalkeeper,Bristol City,?,out,Austria;Croatia;,NA,1 Bundesliga,2016,2016/2017
Bayern Munich,Holger Badstuber,27,Centre-Back,FC Schalke 04,Loan,out,Germany;,0,1 Bundesliga,2016,2016/2017
Bayern Munich,Serdar Tasci,29,Centre-Back,Spartak Moscow,"End of loanJun 30, 2016",out,Germany;Turkey;,0,1 Bundesliga,2016,2016/2017
Borussia Dortmund,André Schürrle,25,Left Winger,VfL Wolfsburg,£27.00m,in,Germany;,27,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Mario Götze,24,Centre-Forward,Bayern Munich,£19.80m,in,Germany;,19.8,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Ousmane Dembélé,19,Left Winger,Stade Rennais,£13.50m,in,France;,13.5,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Sebastian Rode,25,Central Midfield,Bayern Munich,£10.80m,in,Germany;,10.8,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Raphaël Guerreiro,22,Left Midfield,FC Lorient,£10.80m,in,Portugal;France;,10.8,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Emre Mor,18,Right Winger,Nordsjaelland,£8.78m,in,Turkey;Denmark;,8.78,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Alexander Isak,17,Centre-Forward,AIK,£7.74m,in,Sweden;Eritrea;,7.74,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Marc Bartra,25,Centre-Back,FC Barcelona,£7.20m,in,Spain;,7.2,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Mikel Merino,20,Central Midfield,CA Osasuna,£3.38m,in,Spain;,3.38,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Dzenis Burnic,18,Defensive Midfield,B. Dortmund U19,-,in,Germany;Bosnia-Herzegovina;,0,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Jannik Bandowski,22,Left Midfield,1860 Munich,"End of loanJun 30, 2016",in,Germany;,0,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Jakub Blaszczykowski,30,Right Winger,Fiorentina,"End of loanJun 30, 2016",in,Poland;,0,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Henrikh Mkhitaryan,27,Attacking Midfield,Man Utd,£37.80m,out,Armenia;,37.8,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Mats Hummels,27,Centre-Back,Bayern Munich,£31.50m,out,Germany;,31.5,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Ilkay Gündogan,25,Central Midfield,Man City,£24.30m,out,Germany;,24.3,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Jakub Blaszczykowski,30,Right Winger,VfL Wolfsburg,£4.50m,out,Poland;,4.5,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Moritz Leitner,23,Central Midfield,Lazio,£1.35m,out,Germany;Austria;,1.35,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Neven Subotic,28,Centre-Back,1. FC Köln,Loan fee:£450k,out,Germany;Serbia;,0.45,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Jannik Bandowski,22,Left Midfield,VfL Bochum,Free transfer,out,Germany;,NA,1 Bundesliga,2016,2016/2017
Borussia Dortmund,Adrián Ramos,31,Centre-Forward,Granada CF,Loan,out,Colombia;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Kevin Volland,23,Centre-Forward,TSG Hoffenheim,£18.00m,in,Germany;,18,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Aleksandar Dragovic,25,Centre-Back,Dynamo Kyiv,£16.20m,in,Austria;Serbia;,16.2,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Leon Bailey,19,Left Winger,KRC Genk,£12.15m,in,Jamaica;,12.15,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Julian Baumgartlinger,28,Defensive Midfield,1.FSV Mainz 05,£3.60m,in,Austria;,3.6,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Jonas Meffert,21,Defensive Midfield,Karlsruher SC,£540k,in,Germany;,0.54,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Ramazan Özcan,32,Goalkeeper,FC Ingolstadt,£450k,in,Austria;,0.45,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Danny da Costa,22,Right-Back,FC Ingolstadt,£450k,in,Germany;Angola;,0.45,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Kyriakos Papadopoulos,24,Centre-Back,RB Leipzig,"End of loanJan 15, 2017",in,Greece;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Kai Havertz,17,Attacking Midfield,Leverkusen U17,-,in,Germany;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Patrik Dzalto,19,Attacking Midfield,Leverkusen U19,-,in,Croatia;Germany;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Joel Abu Hanna,18,Centre-Back,Leverkusen U19,-,in,Germany;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Andrejs Ciganiks,19,Left Winger,Leverkusen U19,-,in,Latvia;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Robin Becker,20,Centre-Back,1.FC Heidenheim,"End of loanJun 30, 2017",in,Germany;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Niklas Lomb,22,Goalkeeper,Preußen Münster,"End of loanJun 30, 2016",in,Germany;,0,1 Bundesliga,2016,2016/2017
Bayer 04 Leverkusen,Seung-uh Ryu,22,Attacking Midfield,Arm. Bielefeld,"End of loanJun 30, 2016",in,"Korea, South;",0,1 Bundesliga,2016,2016/2017
