club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
AC Milan,Alessandro Matri,29,Centre-Forward,Juventus,£9.90m,in,Italy;,9.9,Serie A,2013,2013/2014
AC Milan,Andrea Poli,23,Central Midfield,Sampdoria,£8.73m,in,Italy;,8.73,Serie A,2013,2013/2014
AC Milan,Cristián Zapata,26,Centre-Back,Villarreal,£5.40m,in,Colombia;,5.4,Serie A,2013,2013/2014
AC Milan,Riccardo Saponara,21,Attacking Midfield,FC Empoli,£4.32m,in,Italy;,4.32,Serie A,2013,2013/2014
AC Milan,Jherson Vergara,19,Centre-Back,Quindío,£1.80m,in,Colombia;,1.8,Serie A,2013,2013/2014
AC Milan,Matías Silvestre,28,Centre-Back,Inter,Loan fee:£900k,in,Argentina;Italy;,0.9,Serie A,2013,2013/2014
AC Milan,Adil Rami,28,Centre-Back,Valencia,Loan fee:£360k,in,France;Morocco;,0.36,Serie A,2013,2013/2014
AC Milan,Kaká,31,Attacking Midfield,Real Madrid,Free transfer,in,Brazil;Italy;,NA,Serie A,2013,2013/2014
AC Milan,Ferdinando Coppola,35,Goalkeeper,Torino,Free transfer,in,Italy;,NA,Serie A,2013,2013/2014
AC Milan,Valter Birsa,27,Attacking Midfield,Genoa,Free transfer,in,Slovenia;,NA,Serie A,2013,2013/2014
AC Milan,Michael Essien,31,Defensive Midfield,Chelsea,Free transfer,in,Ghana;France;,NA,Serie A,2013,2013/2014
AC Milan,Keisuke Honda,27,Attacking Midfield,CSKA Moscow,Free transfer,in,Japan;,NA,Serie A,2013,2013/2014
AC Milan,Adel Taarabt,24,Central Midfield,QPR,Loan,in,Morocco;France;,0,Serie A,2013,2013/2014
AC Milan,Giacomo Beretta,21,Centre-Forward,Genoa,?,in,Italy;,NA,Serie A,2013,2013/2014
AC Milan,Andrea Petagna,18,Centre-Forward,Milan U19,-,in,Italy;,0,Serie A,2013,2013/2014
AC Milan,Bryan Cristante,18,Central Midfield,Milan U19,-,in,Italy;Canada;,0,Serie A,2013,2013/2014
AC Milan,Pontons Paz,18,Left Winger,Milan U19,-,in,Bolivia;,0,Serie A,2013,2013/2014
AC Milan,Kevin-Prince Boateng,26,Centre-Forward,FC Schalke 04,£9.00m,out,Ghana;Germany;,9,Serie A,2013,2013/2014
AC Milan,Rodney Strasser,23,Defensive Midfield,Genoa,£3.15m,out,Sierra Leone;,3.15,Serie A,2013,2013/2014
AC Milan,Bartosz Salamon,22,Centre-Back,Sampdoria,£3.06m,out,Poland;,3.06,Serie A,2013,2013/2014
AC Milan,Michelangelo Albertazzi,22,Left-Back,Hellas Verona,£450k,out,Italy;,0.45,Serie A,2013,2013/2014
AC Milan,Taye Taiwo,28,Left-Back,Bursaspor,Free transfer,out,Nigeria;,NA,Serie A,2013,2013/2014
AC Milan,Mathieu Flamini,29,Defensive Midfield,Arsenal,Free transfer,out,France;,NA,Serie A,2013,2013/2014
AC Milan,Mario Yepes,37,Centre-Back,Atalanta,Free transfer,out,Colombia;France;,NA,Serie A,2013,2013/2014
AC Milan,Cristian Daminuta,23,Defensive Midfield,FC Viitorul,Loan,out,Romania;,0,Serie A,2013,2013/2014
AC Milan,Alessandro Matri,29,Centre-Forward,Fiorentina,Loan,out,Italy;,0,Serie A,2013,2013/2014
AC Milan,Pelé,21,Defensive Midfield,Olhanense,Loan,out,Guinea-Bissau;Portugal;,0,Serie A,2013,2013/2014
AC Milan,Luca Antonini,31,Left-Back,Genoa,Free transfer,out,Italy;,NA,Serie A,2013,2013/2014
AC Milan,Bakaye Traoré,28,Central Midfield,K. Erciyesspor,Loan,out,Mali;France;,0,Serie A,2013,2013/2014
AC Milan,Adrià Carmona,21,Left Winger,Girona,Free transfer,out,Spain;,NA,Serie A,2013,2013/2014
AC Milan,Massimo Ambrosini,36,Central Midfield,Fiorentina,Free transfer,out,Italy;,NA,Serie A,2013,2013/2014
AC Milan,M'Baye Niang,19,Centre-Forward,Montpellier,Loan,out,Senegal;France;,0,Serie A,2013,2013/2014
AC Milan,Edmund Hottor,20,Central Midfield,Nocerina,Loan,out,Ghana;,0,Serie A,2013,2013/2014
AC Milan,Jherson Vergara,19,Centre-Back,Parma,Loan,out,Colombia;,0,Serie A,2013,2013/2014
AC Milan,Uros Palibrk,21,Left Winger,NK Triglav,?,out,Slovenia;,NA,Serie A,2013,2013/2014
AC Milan,Antonio Nocerino,28,Central Midfield,West Ham,Loan,out,Italy;,0,Serie A,2013,2013/2014
AC Milan,Giacomo Beretta,21,Centre-Forward,Lecce,Loan,out,Italy;,0,Serie A,2013,2013/2014
AC Milan,Nnamdi Oduamadi,23,Right Winger,Varese,Loan,out,Nigeria;,0,Serie A,2013,2013/2014
AC Milan,Marco Fossati,20,Central Midfield,Bari,Loan,out,Italy;,0,Serie A,2013,2013/2014
AC Milan,Attila Filkor,25,Central Midfield,LB Châteauroux,Loan,out,Hungary;,0,Serie A,2013,2013/2014
AC Milan,Luca Santonocito,22,Attacking Midfield,Monza,Loan,out,Italy;,0,Serie A,2013,2013/2014
AC Milan,Rodrigo Ely,19,Centre-Back,Varese,Loan,out,Brazil;Italy;,0,Serie A,2013,2013/2014
AC Milan,Pontons Paz,18,Left Winger,Nocerina,Loan,out,Bolivia;,0,Serie A,2013,2013/2014
AC Milan,Gianmario Comi,21,Centre-Forward,Virtus Lanciano,Loan,out,Italy;,0,Serie A,2013,2013/2014
AC Milan,Mattia Desolé,20,Left-Back,FC Chiasso,Loan,out,Switzerland;Venezuela;,0,Serie A,2013,2013/2014
AC Milan,Simone Ganz,20,Centre-Forward,Barletta,Loan,out,Italy;,0,Serie A,2013,2013/2014
AC Milan,Dídac Vilà,24,Left-Back,Real Betis,Loan,out,Spain;,0,Serie A,2013,2013/2014
AC Milan,Andrea Schenetti,22,Attacking Midfield,Como,?,out,Italy;,NA,Serie A,2013,2013/2014
AC Milan,Edoardo Pazzagli,24,Goalkeeper,Ascoli,Loan,out,Italy;,0,Serie A,2013,2013/2014
