club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Sporting CP,Mauricio Pinilla,20,Centre-Forward,Inter,£1.35m,in,Chile;Italy;,1.35,Liga Nos,2004,2004/2005
Sporting CP,Douala,25,Left Winger,Leiria,£900k,in,Cameroon;Portugal;,0.9,Liga Nos,2004,2004/2005
Sporting CP,Joseph Enakarhire,21,Centre-Back,Standard Liège,£675k,in,Nigeria;,0.675,Liga Nos,2004,2004/2005
Sporting CP,Mota,24,Centre-Forward,Chunnam Dragons,Free transfer,in,Brazil;,NA,Liga Nos,2004,2004/2005
Sporting CP,Rogério,28,Right-Back,Corinthians,Free transfer,in,Brazil;,NA,Liga Nos,2004,2004/2005
Sporting CP,Hugo Viana,21,Central Midfield,Newcastle,Loan,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Pedro Araújo,19,Left-Back,Sporting U19,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,João Moutinho,17,Central Midfield,Sporting U19,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Christopher,19,Goalkeeper,Sporting B,-,in,Portugal;France;,0,Liga Nos,2004,2004/2005
Sporting CP,Hugo Machado,21,Attacking Midfield,Sporting B,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Emídio Rafael,19,Left-Back,Sporting U19,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Paulo Sérgio,20,Attacking Midfield,Sporting B,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Edgar Marcelino,19,Right Winger,Sporting B,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Carlos Saleiro,18,Centre-Forward,Sporting U19,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Miguel Ângelo,19,Centre-Back,Sporting B,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Mário Felgueiras,18,Goalkeeper,Sporting U19,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Hugo Moutinho,22,Attacking Midfield,Sporting B,-,in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Silvestre Varela,19,Left Winger,Sporting U19,-,in,Portugal;Cape Verde;,0,Liga Nos,2004,2004/2005
Sporting CP,Gisvi,22,Centre-Forward,Sporting B,-,in,Portugal;Namibia;,0,Liga Nos,2004,2004/2005
Sporting CP,Danny,20,Attacking Midfield,Marítimo,"End of loanJun 30, 2004",in,Portugal;Venezuela;,0,Liga Nos,2004,2004/2005
Sporting CP,Diogo,28,Defensive Midfield,Alverca,"End of loanJun 30, 2004",in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Luís Filipe,25,Right-Back,Leiria,"End of loanJun 30, 2004",in,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Danny,21,Attacking Midfield,Dinamo Moscow,£2.70m,out,Portugal;Venezuela;,2.7,Liga Nos,2004,2004/2005
Sporting CP,Facundo Quiroga,26,Centre-Back,VfL Wolfsburg,£1.35m,out,Argentina;,1.35,Liga Nos,2004,2004/2005
Sporting CP,Tinga,26,Central Midfield,Internacional,£270k,out,Brazil;Portugal;,0.27,Liga Nos,2004,2004/2005
Sporting CP,Rui Bento,32,Defensive Midfield,Académico Viseu,Free transfer,out,Portugal;,NA,Liga Nos,2004,2004/2005
Sporting CP,Beto,22,Goalkeeper,Chaves,Free transfer,out,Portugal;,NA,Liga Nos,2004,2004/2005
Sporting CP,Hugo Machado,22,Attacking Midfield,Estrela Amadora,Loan,out,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Toñito,27,Right Midfield,Boavista,Free transfer,out,Spain;,NA,Liga Nos,2004,2004/2005
Sporting CP,João Pinto,32,Second Striker,Boavista,Free transfer,out,Portugal;,NA,Liga Nos,2004,2004/2005
Sporting CP,José Semedo,19,Defensive Midfield,Casa Pia,Loan,out,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Edgar Marcelino,19,Right Winger,Penafiel,Loan,out,Portugal;,0,Liga Nos,2004,2004/2005
Sporting CP,Silvestre Varela,19,Left Winger,Casa Pia,Loan,out,Portugal;Cape Verde;,0,Liga Nos,2004,2004/2005
