club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Chernomorets Novorossijsk,Roman Oreshchuk,18,Centre-Forward,CSKA Moscow II,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Aleksandr Kudryashov,20,Centre-Back,S-UGP Anapa,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Gisa Pshukov,23,Goalkeeper,I. Smolensk,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Arsen Papikyan,23,Defender,Stavropol,Loan,in,Russia;Armenia;,0,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Maksim Olkhovik,21,Forward,I. Smolensk,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Serhii Yarmolych,31,Defender,Unknown,?,in,Ukraine;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Marat Mulashev,25,Centre-Forward,Luch,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Armen Adamyan,27,Attacking Midfield,Unknown,"End of loanDec 31, 1994",in,Armenia;,0,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Igor Abdrazakov,16,Centre-Forward,Chernomor N U19,-,in,Russia;,0,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Vladimir But,16,Attacking Midfield,Bor. Dortmund,Free transfer,out,Russia;Germany;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Armen Adamyan,27,Attacking Midfield,Kristall,?,out,Armenia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Armen Adamyan,26,Attacking Midfield,Unknown,Loan,out,Armenia;,0,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Aleksandr Kobenko,17,Midfielder,Druzhba Maikop,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Marat Mulashev,26,Centre-Forward,Sur SC,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Chernomorets Novorossijsk,Roman Oreshchuk,19,Centre-Forward,CSKA Moscow II,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Aleksandr Tochilin,20,Right-Back,Asmaral Moskau,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Sergey Kolotovkin,29,Centre-Back,CSKA Moscow,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Valeri Kleimenov,29,Goalkeeper,Maccabi Herzliya,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Andrey Gordeev,19,Centre-Back,Chertanovo,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Andrey Ivanov,27,Centre-Back,Spartak Moscow,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Sergey Podpaly,31,Centre-Back,Hapoel Haifa,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Vitali Safronov,21,Attacking Midfield,KS Samara,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Yuri Kuznetsov,20,Midfielder,Unknown,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Erik Yakhimovich,25,Centre-Back,Dinamo Minsk,?,in,Belarus;Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Sergey Derkach,27,Midfielder,FC Basel,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Oleg Terekhin,24,Centre-Forward,Sokol Saratov,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Aleksandr Grishin,23,Central Midfield,CSKA Moscow,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Vagiz Khidiyatullin,35,Sweeper,Labège FC,?,in,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Aleksey Kutsenko,22,Right Winger,Dinamo M II,-,in,Russia;,0,Premier Liga,1994,1994/1995
Dinamo Moscow,Ravil Sabitov,26,Defender,Without Club,-,in,Russia;,0,Premier Liga,1994,1994/1995
Dinamo Moscow,Igor Simutenkov,21,Centre-Forward,Reggiana,Free transfer,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Omari Tetradze,25,Right-Back,Spartak V.,Free transfer,out,Russia;Georgia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Vitali Elsukov,21,Midfielder,Krasnoznamensk,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Valeri Kleimenov,28,Goalkeeper,Maccabi Herzliya,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Dmitri Kramarenko,20,Goalkeeper,Torpedo Moscow,?,out,Azerbaijan;Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Andrey Ivanov,27,Centre-Back,Spartak Moscow,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Sergey Derkach,28,Midfielder,Spartak V.,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Aleksandr Borodkin,23,Centre-Back,Torpedo Moscow,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Igor Dobrovolski,26,Attacking Midfield,Atlético Madrid,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Aleksandr Smirnov,26,Right Midfield,Loko Moscow,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Aleksey Savchenko,19,Central Midfield,Din-Gaz Tyumen,?,out,Russia;,NA,Premier Liga,1994,1994/1995
Dinamo Moscow,Dmitri Karsakov,22,Right Midfield,Torpedo Moscow,?,out,Russia;,NA,Premier Liga,1994,1994/1995
