club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Atlético Madrid,Fernando Correa,21,Forward,River Plate,£108k,in,Uruguay;Italy;,0.108,Primera Division,1995,1995/1996
Atlético Madrid,Quinton Fortune,18,Central Midfield,RCD Mallorca,Free transfer,in,South Africa;England;,NA,Primera Division,1995,1995/1996
Atlético Madrid,José Francisco Molina,24,Goalkeeper,Albacete,Free transfer,in,Spain;,NA,Primera Division,1995,1995/1996
Atlético Madrid,Dani,23,Right-Back,RCD Mallorca,?,in,Spain;,NA,Primera Division,1995,1995/1996
Atlético Madrid,Leo Biagini,18,Centre-Forward,Newell's,?,in,Argentina;Spain;,NA,Primera Division,1995,1995/1996
Atlético Madrid,Milinko Pantic,28,Attacking Midfield,Panionios,?,in,Serbia;,NA,Primera Division,1995,1995/1996
Atlético Madrid,Lyuboslav Penev,28,Centre-Forward,Valencia,?,in,Bulgaria;,NA,Primera Division,1995,1995/1996
Atlético Madrid,Roberto,22,Central Midfield,Espanyol,?,in,Spain;,NA,Primera Division,1995,1995/1996
Atlético Madrid,José Soler,28,Midfielder,Marbella FC,"End of loanJan 1, 1996",in,Spain;,0,Primera Division,1995,1995/1996
Atlético Madrid,Juan Carlos,22,Forward,CA Marbella,"End of loanJul 1, 1995",in,Spain;,0,Primera Division,1995,1995/1996
Atlético Madrid,Iván Rocha,27,Left-Back,Real Valladolid,"End of loanJul 1, 1996",in,Brazil;,0,Primera Division,1995,1995/1996
Atlético Madrid,José Soler,27,Midfielder,CA Osasuna,"End of loanJun 1, 1995",in,Spain;,0,Primera Division,1995,1995/1996
Atlético Madrid,Abel Resino,35,Goalkeeper,Rayo Vallecano,Free transfer,out,Spain;,NA,Primera Division,1995,1995/1996
Atlético Madrid,Adolfo Valencia,27,Centre-Forward,Independiente,?,out,Colombia;,NA,Primera Division,1995,1995/1996
Atlético Madrid,Manolo,30,Forward,Mérida UD,?,out,Spain;,NA,Primera Division,1995,1995/1996
Atlético Madrid,José Soler,27,Midfielder,Marbella FC,Loan,out,Spain;,0,Primera Division,1995,1995/1996
Atlético Madrid,Iván Rocha,26,Left-Back,Real Valladolid,Loan,out,Brazil;,0,Primera Division,1995,1995/1996
