club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Ajax Amsterdam,Mike van der Hoorn,20,Centre-Back,FC Utrecht,£3.42m,in,Netherlands;,3.42,Eredivisie,2013,2013/2014
Ajax Amsterdam,Lerin Duarte,23,Central Midfield,Heracles Almelo,£2.70m,in,Netherlands;Cape Verde;,2.7,Eredivisie,2013,2013/2014
Ajax Amsterdam,Bojan Krkic,22,Second Striker,FC Barcelona,Loan,in,Spain;Serbia;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Danny Hoesen,22,Centre-Forward,Ajax U21,-,in,Netherlands;Morocco;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Ruben Ligeon,21,Right-Back,Ajax U21,-,in,Netherlands;Suriname;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Sheraldo Becker,18,Right Winger,Ajax U19,-,in,Netherlands;Suriname;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Jairo Riedewald,17,Centre-Back,Ajax U19,-,in,Netherlands;Suriname;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Lesly de Sa,20,Right Winger,Ajax U21,-,in,Netherlands;Angola;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Eyong Enoh,27,Defensive Midfield,Fulham,"End of loanJun 30, 2013",in,Cameroon;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Dico Koppers,21,Left-Back,ADO Den Haag,"End of loanJun 30, 2013",in,Netherlands;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Christian Eriksen,21,Attacking Midfield,Spurs,£12.15m,out,Denmark;,12.15,Eredivisie,2013,2013/2014
Ajax Amsterdam,Toby Alderweireld,24,Centre-Back,Atlético Madrid,£6.30m,out,Belgium;,6.3,Eredivisie,2013,2013/2014
Ajax Amsterdam,Derk Boerrigter,26,Left Winger,Celtic,£2.25m,out,Netherlands;,2.25,Eredivisie,2013,2013/2014
Ajax Amsterdam,Dico Koppers,21,Left-Back,FC Twente,£720k,out,Netherlands;,0.72,Eredivisie,2013,2013/2014
Ajax Amsterdam,Eyong Enoh,27,Defensive Midfield,Antalyaspor,Loan fee:£90k,out,Cameroon;,0.09,Eredivisie,2013,2013/2014
Ajax Amsterdam,Miralem Sulejmani,24,Left Winger,Benfica,Free transfer,out,Serbia;,NA,Eredivisie,2013,2013/2014
Ajax Amsterdam,Danny Hoesen,23,Centre-Forward,PAOK Salonika,Loan,out,Netherlands;Morocco;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Ryan Babel,26,Left Winger,Kasimpasa,Free transfer,out,Netherlands;Suriname;,NA,Eredivisie,2013,2013/2014
Ajax Amsterdam,Mitchell Dijks,20,Left-Back,Heerenveen,Loan,out,Netherlands;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Jody Lukoki,20,Right Winger,SC Cambuur,Loan,out,DR Congo;Netherlands;,0,Eredivisie,2013,2013/2014
Ajax Amsterdam,Isaac Cuenca,22,Left Midfield,FC Barcelona,"End of loanJun 30, 2013",out,Spain;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Adam Maher,19,Central Midfield,AZ Alkmaar,£7.20m,in,Netherlands;Morocco;,7.2,Eredivisie,2013,2013/2014
PSV Eindhoven,Jeffrey Bruma,21,Centre-Back,Chelsea,£3.15m,in,Netherlands;Suriname;,3.15,Eredivisie,2013,2013/2014
PSV Eindhoven,Bryan Ruíz,28,Attacking Midfield,Fulham,Loan fee:£900k,in,Costa Rica;,0.9,Eredivisie,2013,2013/2014
PSV Eindhoven,Stijn Schaars,29,Defensive Midfield,Sporting CP,£765k,in,Netherlands;,0.765,Eredivisie,2013,2013/2014
PSV Eindhoven,Santiago Arias,21,Right-Back,Sporting CP,£608k,in,Colombia;,0.608,Eredivisie,2013,2013/2014
PSV Eindhoven,Florian Jozefzoon,22,Right Winger,RKC Waalwijk,£248k,in,Netherlands;Suriname;,0.248,Eredivisie,2013,2013/2014
PSV Eindhoven,Ji-sung Park,32,Attacking Midfield,QPR,Loan,in,"Korea, South;",0,Eredivisie,2013,2013/2014
PSV Eindhoven,Karim Rekik,18,Centre-Back,Man City,Loan,in,Netherlands;Tunisia;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Joshua Brenet,19,Right-Back,PSV U21,-,in,Netherlands;Curacao;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Jorrit Hendrix,18,Defensive Midfield,PSV U19,-,in,Netherlands;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Zakaria Bakkali,17,Left Winger,PSV U21,-,in,Belgium;Morocco;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Stanislav Manolev,27,Right-Back,Fulham,"End of loanJun 30, 2013",in,Bulgaria;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Abel Tamata,22,Left-Back,Roda JC,"End of loanJun 30, 2013",in,DR Congo;Netherlands;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Jeroen Zoet,22,Goalkeeper,RKC Waalwijk,"End of loanJun 30, 2013",in,Netherlands;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Kevin Strootman,23,Defensive Midfield,AS Roma,£15.75m,out,Netherlands;,15.75,Eredivisie,2013,2013/2014
PSV Eindhoven,Dries Mertens,26,Centre-Forward,SSC Napoli,£8.53m,out,Belgium;,8.53,Eredivisie,2013,2013/2014
PSV Eindhoven,Jeremain Lens,25,Right Winger,Dynamo Kyiv,£8.10m,out,Netherlands;Suriname;,8.1,Eredivisie,2013,2013/2014
PSV Eindhoven,Erik Pieters,24,Left-Back,Stoke City,£3.24m,out,Netherlands;,3.24,Eredivisie,2013,2013/2014
PSV Eindhoven,Marcelo,26,Centre-Back,Hannover 96,£2.48m,out,Brazil;,2.48,Eredivisie,2013,2013/2014
PSV Eindhoven,Ola Toivonen,27,Centre-Forward,Stade Rennais,£2.25m,out,Sweden;,2.25,Eredivisie,2013,2013/2014
PSV Eindhoven,Atiba Hutchinson,30,Defensive Midfield,Besiktas,Free transfer,out,Canada;Trinidad and Tobago;,NA,Eredivisie,2013,2013/2014
PSV Eindhoven,Stanislav Manolev,28,Right-Back,Kuban Krasnodar,Free transfer,out,Bulgaria;,NA,Eredivisie,2013,2013/2014
PSV Eindhoven,Boy Waterman,29,Goalkeeper,Karabükspor,Free transfer,out,Netherlands;Suriname;,NA,Eredivisie,2013,2013/2014
PSV Eindhoven,Jagos Vukovic,25,Centre-Back,Vojvodina,Free transfer,out,Serbia;,NA,Eredivisie,2013,2013/2014
PSV Eindhoven,Orlando Engelaar,33,Defensive Midfield,Melbourne Heart,Free transfer,out,Netherlands;Suriname;,NA,Eredivisie,2013,2013/2014
PSV Eindhoven,Timothy Derijck,26,Centre-Back,FC Utrecht,Loan,out,Belgium;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Marcel Ritzmaier,20,Central Midfield,SC Cambuur,Loan,out,Austria;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Wilfred Bouma,35,Left-Back,Retired,-,out,Netherlands;,0,Eredivisie,2013,2013/2014
PSV Eindhoven,Mark van Bommel,36,Defensive Midfield,Retired,-,out,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Graziano Pellè,27,Centre-Forward,Parma,£2.70m,in,Italy;,2.7,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Otman Bakkal,28,Attacking Midfield,Dinamo Moscow,Free transfer,in,Netherlands;Morocco;,NA,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Samuel Armenteros,23,Centre-Forward,RSC Anderlecht,Loan,in,Sweden;Cuba;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Sven van Beek,18,Centre-Back,Feyenoord U19,-,in,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Jordy van Deelen,20,Right-Back,Feyenoord U21,-,in,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Joey Sleegers,18,Left Winger,Feyenoord U19,-,in,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Lucas Woudenberg,19,Left-Back,Feyenoord U19,-,in,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Elvis Manu,19,Left Winger,Feyenoord U19,-,in,Netherlands;Ghana;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Shabir Isoufi,21,Attacking Midfield,Telstar,"End of loanJun 30, 2013",in,Afghanistan;Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Matthew Steenvoorden,20,Centre-Back,Excelsior,"End of loanJun 30, 2013",in,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Sekou Cissé,28,Centre-Forward,KRC Genk,Free transfer,out,Cote d'Ivoire;,NA,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Harmeet Singh,23,Central Midfield,Molde FK,Free transfer,out,Norway;,NA,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Kelvin Leerdam,23,Right-Back,Vitesse,Free transfer,out,Suriname;Netherlands;,NA,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Shabir Isoufi,21,Attacking Midfield,Telstar,Free transfer,out,Afghanistan;Netherlands;,NA,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Matthew Steenvoorden,20,Centre-Back,FC Dordrecht,Loan,out,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Guyon Fernandez,27,Centre-Forward,PEC Zwolle,Loan,out,Curacao;Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Anass Achahbar,19,Centre-Forward,Arm. Bielefeld,Loan,out,Netherlands;Morocco;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Jordy van Deelen,20,Right-Back,FC Dordrecht,Loan,out,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Kamohelo Mokotjo,22,Defensive Midfield,PEC Zwolle,?,out,South Africa;Netherlands;,NA,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Kaj Ramsteijn,23,Centre-Back,Sparta R.,Loan,out,Netherlands;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Elvis Manu,20,Left Winger,SC Cambuur,Loan,out,Netherlands;Ghana;,0,Eredivisie,2013,2013/2014
Feyenoord Rotterdam,Graziano Pellè,27,Centre-Forward,Parma,"End of loanJun 30, 2013",out,Italy;,0,Eredivisie,2013,2013/2014
Vitesse Arnhem,Cristian Cuevas,18,Left-Back,Chelsea,Loan,in,Chile;,0,Eredivisie,2013,2013/2014
Vitesse Arnhem,Kelvin Leerdam,23,Right-Back,Feyenoord,Free transfer,in,Suriname;Netherlands;,NA,Eredivisie,2013,2013/2014
Vitesse Arnhem,Christian Atsu,21,Left Winger,Chelsea,Loan,in,Ghana;,0,Eredivisie,2013,2013/2014
Vitesse Arnhem,Bertrand Traoré,18,Right Winger,Chelsea,Loan,in,Burkina Faso;,0,Eredivisie,2013,2013/2014
Vitesse Arnhem,Marko Vejinović,23,Defensive Midfield,Heracles Almelo,Free transfer,in,Netherlands;Serbia;,NA,Eredivisie,2013,2013/2014
Vitesse Arnhem,Lucas Piazón,19,Left Winger,Chelsea,Loan,in,Brazil;Italy;,0,Eredivisie,2013,2013/2014
Vitesse Arnhem,Sam Hutchinson,24,Defensive Midfield,Chelsea,Loan,in,England;,0,Eredivisie,2013,2013/2014
Vitesse Arnhem,Zakaria Labyad,20,Attacking Midfield,Sporting CP,Loan,in,Morocco;Netherlands;,0,Eredivisie,2013,2013/2014
