club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Cardiff City,Charlie Oatway,20,Central Midfield,Yeading FC,Free transfer,in,England;,NA,Championship,1994,1994/1995
Cardiff City,Wayne Fereday,31,Right Winger,West Brom,?,in,England;,NA,Championship,1994,1994/1995
Cardiff City,John Pearson,31,Forward,Mansfield Town,?,in,England;,NA,Championship,1994,1994/1995
Cardiff City,Mark Aizlewood,34,Centre-Back,Bristol City,?,in,Wales;,NA,Championship,1994,1994/1995
Cardiff City,Paul Ramsey,31,Defensive Midfield,St. Johnstone,Loan,in,Northern Ireland;,0,Championship,1994,1994/1995
Cardiff City,Scott Young,18,Centre-Back,Cardiff U18,-,in,Wales;,0,Championship,1994,1994/1995
Cardiff City,Garry Thompson,35,Forward,Northampt. Town,?,out,England;,NA,Championship,1994,1994/1995
Cardiff City,Kevin Bartley,18,Forward,Afan Lido,?,out,Wales;,NA,Championship,1994,1994/1995
Cardiff City,Alan Walsh,37,Left Midfield,Hartlepool Utd.,?,out,England;,NA,Championship,1994,1994/1995
Cardiff City,Paul Ramsey,32,Defensive Midfield,St. Johnstone,"End of loanNov 1, 1994",out,Northern Ireland;,0,Championship,1994,1994/1995
Fulham FC,Alan Cork,35,Forward,Sheffield Utd.,Free transfer,in,England;,NA,Championship,1994,1994/1995
Fulham FC,Tony Finnigan,31,Central Midfield,Enfield FC,Free transfer,in,England;,NA,Championship,1994,1994/1995
Fulham FC,Mark Stallard,19,Centre-Forward,Derby,Loan,in,England;,0,Championship,1994,1994/1995
Fulham FC,Kevin Moore,36,Defender,Southampton,Free transfer,in,England;,NA,Championship,1994,1994/1995
Fulham FC,Mark Blake,26,Centre-Back,Shrewsbury,Free transfer,in,England;,NA,Championship,1994,1994/1995
Fulham FC,Micky Adams,32,Left-Back,Southampton,Free transfer,in,England;,NA,Championship,1994,1994/1995
Fulham FC,Terry Hurlock,35,Central Midfield,Southampton,?,in,England;,NA,Championship,1994,1994/1995
Fulham FC,Nicholas Cusack,28,Midfielder,Oxford United,?,in,England;,NA,Championship,1994,1994/1995
Fulham FC,Sean Farrell,25,Forward,Peterborough,£151k,out,England;,0.151,Championship,1994,1994/1995
Fulham FC,Glen Thomas,26,Centre-Back,Peterborough,Free transfer,out,England;,NA,Championship,1994,1994/1995
Fulham FC,Martin Pike,29,Right-Back,Rotherham,Free transfer,out,England;,NA,Championship,1994,1994/1995
Fulham FC,Peter Baah,21,Right Winger,Northwich Victoria,?,out,England;,NA,Championship,1994,1994/1995
Fulham FC,Steve Archibald,37,Centre-Forward,East Fife,?,out,Scotland;,NA,Championship,1994,1994/1995
Fulham FC,Jeff Eckhardt,28,Centre-Back,Stockport,?,out,England;,NA,Championship,1994,1994/1995
Fulham FC,Mark Stallard,20,Centre-Forward,Derby,"End of loanDec 31, 1994",out,England;,0,Championship,1994,1994/1995
Huddersfield Town,Lee Duxbury,25,Midfielder,Bradford,£263k,in,England;,0.263,Championship,1994,1994/1995
Huddersfield Town,Paul Williams,25,Defender,Coventry,Loan,in,England;,0,Championship,1994,1994/1995
Huddersfield Town,Gary Crosby,30,Midfielder,Nottm Forest,Free transfer,in,England;,NA,Championship,1994,1994/1995
Huddersfield Town,Paul Moulden,27,Forward,Birmingham,Free transfer,in,England;,NA,Championship,1994,1994/1995
Huddersfield Town,Robbie Ryan,17,Left-Back,Belvedere FC,Free transfer,in,Ireland;,NA,Championship,1994,1994/1995
Huddersfield Town,Paul Williams,25,Defender,Coventry,Loan,in,England;,0,Championship,1994,1994/1995
Huddersfield Town,Kevin Gray,22,Centre-Back,Mansfield Town,£27k,in,England;,0.027,Championship,1994,1994/1995
Huddersfield Town,Chris Short,24,Defender,Notts County,Loan,in,England;,0,Championship,1994,1994/1995
Huddersfield Town,Tom Cowan,24,Left-Back,Sheffield Utd.,?,in,Scotland;,NA,Championship,1994,1994/1995
Huddersfield Town,Sam Collins,17,Centre-Back,Huddersf. U18,-,in,England;,0,Championship,1994,1994/1995
Huddersfield Town,Peter Jackson,33,Centre-Back,Chester City,Free transfer,out,England;,NA,Championship,1994,1994/1995
Huddersfield Town,Gerry Harrison,22,Midfielder,Burnley,Free transfer,out,England;,NA,Championship,1994,1994/1995
Huddersfield Town,Phil Starbuck,25,Centre-Forward,Sheffield Utd.,?,out,England;,NA,Championship,1994,1994/1995
Huddersfield Town,Phil Robinson,27,Midfielder,Chesterfield FC,?,out,England;,NA,Championship,1994,1994/1995
Huddersfield Town,Chris Short,25,Defender,Notts County,"End of loanMay 31, 1995",out,England;,0,Championship,1994,1994/1995
Huddersfield Town,Paul Williams,25,Defender,Coventry,"End of loanMay 31, 1995",out,England;,0,Championship,1994,1994/1995
Huddersfield Town,Paul Williams,25,Defender,Coventry,"End of loanDec 17, 1994",out,England;,0,Championship,1994,1994/1995
Leeds United,Carlton Palmer,28,Defensive Midfield,Sheff Wed,£2.84m,in,England;,2.84,Championship,1994,1994/1995
Leeds United,Anthony Yeboah,28,Centre-Forward,E. Frankfurt,Loan fee:£900k,in,Ghana;,0.9,Championship,1994,1994/1995
Leeds United,Nigel Worthington,32,Left-Back,Sheff Wed,£360k,in,Northern Ireland;,0.36,Championship,1994,1994/1995
