club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
SC Amiens,Moussa Konaté,24,Centre-Forward,FC Sion,£3.15m,in,Senegal;,3.15,Ligue 1,2017,2017/2018
SC Amiens,Bongani Zungu,24,Central Midfield,Vit. Guimarães,£1.80m,in,South Africa;,1.8,Ligue 1,2017,2017/2018
SC Amiens,Stiven Mendoza,25,Left Winger,Corinthians,£900k,in,Colombia;,0.9,Ligue 1,2017,2017/2018
SC Amiens,Prince Gouano,23,Centre-Back,Atalanta,£117k,in,France;Cote d'Ivoire;,0.117,Ligue 1,2017,2017/2018
SC Amiens,Madih Talal,19,Central Midfield,SCO Angers B,Free transfer,in,France;,NA,Ligue 1,2017,2017/2018
SC Amiens,Mathieu Bodmer,34,Defensive Midfield,Guingamp,Free transfer,in,France;,NA,Ligue 1,2017,2017/2018
SC Amiens,Jean-Christophe Bouet,33,Goalkeeper,Dunkerque,Free transfer,in,France;,NA,Ligue 1,2017,2017/2018
SC Amiens,Gaël Kakuta,26,Attacking Midfield,HB CFFC,Loan,in,DR Congo;France;,0,Ligue 1,2017,2017/2018
SC Amiens,Brighton Labeau,21,Centre-Forward,Monaco B,Free transfer,in,France;,NA,Ligue 1,2017,2017/2018
SC Amiens,Issa Cissokho,32,Right-Back,SCO Angers,Free transfer,in,Senegal;France;,NA,Ligue 1,2017,2017/2018
SC Amiens,Serge Gakpé,30,Right Winger,Genoa,?,in,Togo;France;,NA,Ligue 1,2017,2017/2018
SC Amiens,Nathan,21,Left Winger,Chelsea,Loan,in,Brazil;,0,Ligue 1,2017,2017/2018
SC Amiens,Jean-Luc Dompé,21,Left Winger,Standard Liège,Loan,in,France;Mali;,0,Ligue 1,2017,2017/2018
SC Amiens,Danilo Avelar,28,Left-Back,Torino,Loan,in,Brazil;Italy;,0,Ligue 1,2017,2017/2018
SC Amiens,Lacina Traoré,27,Centre-Forward,Monaco,Loan,in,Cote d'Ivoire;,0,Ligue 1,2017,2017/2018
SC Amiens,Réda Rabeï,23,Attacking Midfield,AS Lyon-Duchère,"End of loanDec 31, 2017",in,Algeria;France;,0,Ligue 1,2017,2017/2018
SC Amiens,Bachibou Koita,23,Centre-Forward,SC Amiens B,-,in,Niger;,0,Ligue 1,2017,2017/2018
SC Amiens,Sekou Baradji,33,Defensive Midfield,Without Club,-,in,France;Mali;,0,Ligue 1,2017,2017/2018
SC Amiens,Aboubakar Kamara,22,Centre-Forward,Fulham,£5.40m,out,France;Mauritania;,5.4,Ligue 1,2017,2017/2018
