club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
AS Roma,Gabriel Batistuta,31,Centre-Forward,Fiorentina,£32.54m,in,Argentina;Italy;,32.54,Serie A,2000,2000/2001
AS Roma,Wálter Samuel,22,Centre-Back,Boca Juniors,£18.72m,in,Argentina;Spain;,18.72,Serie A,2000,2000/2001
AS Roma,Jonathan Zebina,21,Centre-Back,Cagliari Calcio,£16.56m,in,France;Martinique;,16.56,Serie A,2000,2000/2001
AS Roma,Émerson,24,Defensive Midfield,Bay. Leverkusen,£16.20m,in,Brazil;Germany;,16.2,Serie A,2000,2000/2001
AS Roma,Sebastián Cejas,26,Goalkeeper,Newell's,£5.40m,in,Argentina;,5.4,Serie A,2000,2000/2001
AS Roma,Gianni Guigou,25,Defensive Midfield,Nacional,£3.60m,in,Uruguay;Italy;,3.6,Serie A,2000,2000/2001
AS Roma,Franco Brienza,21,Attacking Midfield,Foggia,£46k,in,Italy;,0.046,Serie A,2000,2000/2001
AS Roma,Giuseppe Di Masi,18,Goalkeeper,Foggia,?,in,Italy;,NA,Serie A,2000,2000/2001
AS Roma,Abel Balbo,34,Centre-Forward,Fiorentina,?,in,Argentina;,NA,Serie A,2000,2000/2001
AS Roma,Marco Amelia,18,Goalkeeper,Roma U19,-,in,Italy;,0,Serie A,2000,2000/2001
AS Roma,Gaetano D'Agostino,18,Central Midfield,Roma U19,-,in,Italy;,0,Serie A,2000,2000/2001
AS Roma,Dmitri Alenichev,27,Central Midfield,FC Porto,£2.70m,out,Russia;,2.7,Serie A,2000,2000/2001
AS Roma,Sergey Gurenko,28,Right-Back,Real Zaragoza,Loan fee:£324k,out,Belarus;,0.324,Serie A,2000,2000/2001
AS Roma,Manuele Blasi,19,Central Midfield,Perugia,Loan,out,Italy;,0,Serie A,2000,2000/2001
AS Roma,Fábio Júnior,22,Centre-Forward,Palmeiras,Free transfer,out,Brazil;Italy;,NA,Serie A,2000,2000/2001
AS Roma,Fabio Petruzzi,29,Centre-Back,Brescia,?,out,Italy;,NA,Serie A,2000,2000/2001
AS Roma,Giuseppe Colucci,19,Central Midfield,Hellas Verona,?,out,Italy;,NA,Serie A,2000,2000/2001
AS Roma,Alessandro Frau,23,Attacking Midfield,AC Pisa,Loan,out,Italy;,0,Serie A,2000,2000/2001
AS Roma,Paolo Poggi,29,Centre-Forward,Bari,?,out,Italy;,NA,Serie A,2000,2000/2001
AS Roma,Daniele De Vezze,20,Central Midfield,US Palermo,Loan,out,Italy;,0,Serie A,2000,2000/2001
AS Roma,Filippo Dal Moro,29,Left-Back,Ravenna,?,out,Italy;,NA,Serie A,2000,2000/2001
AS Roma,Ednilson,18,Defensive Midfield,Benfica,?,out,Guinea-Bissau;Portugal;,NA,Serie A,2000,2000/2001
AS Roma,Giuseppe Di Masi,19,Goalkeeper,US Palermo,?,out,Italy;,NA,Serie A,2000,2000/2001
AS Roma,Ivan Tomic,24,Defensive Midfield,Alavés,?,out,Serbia;,NA,Serie A,2000,2000/2001
AS Roma,Andrea Campagnolo,22,Goalkeeper,Genoa,?,out,Italy;,NA,Serie A,2000,2000/2001
AS Roma,Gustavo Bartelt,25,Centre-Forward,Aston Villa,?,out,Argentina;,NA,Serie A,2000,2000/2001
AS Roma,Franco Brienza,21,Attacking Midfield,US Palermo,Loan,out,Italy;,0,Serie A,2000,2000/2001
AS Roma,Maurizio Lanzaro,18,Centre-Back,Hellas Verona,Loan,out,Italy;,0,Serie A,2000,2000/2001
Brescia Calcio,Roberto Baggio,33,Second Striker,Inter,Free transfer,in,Italy;,NA,Serie A,2000,2000/2001
