club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
SL Benfica,Roberto,24,Goalkeeper,Atlético Madrid,£7.65m,in,Spain;,7.65,Liga Nos,2010,2010/2011
SL Benfica,Nico Gaitán,22,Attacking Midfield,Boca Juniors,£7.56m,in,Argentina;,7.56,Liga Nos,2010,2010/2011
SL Benfica,Rodrigo,19,Centre-Forward,RM Castilla,£5.40m,in,Spain;Brazil;,5.4,Liga Nos,2010,2010/2011
SL Benfica,Franco Jara,21,Centre-Forward,Arsenal FC,£4.95m,in,Argentina;,4.95,Liga Nos,2010,2010/2011
SL Benfica,Jardel,24,Centre-Back,Desp. Brasil,£4.03m,in,Brazil;Portugal;,4.03,Liga Nos,2010,2010/2011
SL Benfica,Eduardo Salvio,20,Right Winger,Atlético Madrid,Loan fee:£1.80m,in,Argentina;,1.8,Liga Nos,2010,2010/2011
SL Benfica,Fábio Faria,21,Centre-Back,Rio Ave FC,£1.80m,in,Portugal;,1.8,Liga Nos,2010,2010/2011
SL Benfica,Jan Oblak,17,Goalkeeper,NK Olimpija,£1.53m,in,Slovenia;,1.53,Liga Nos,2010,2010/2011
SL Benfica,José Luis Fernández,23,Left Midfield,Racing Club,£1.35m,in,Argentina;,1.35,Liga Nos,2010,2010/2011
SL Benfica,Lionel Carole,19,Left-Back,FC Nantes,£675k,in,France;Martinique;,0.675,Liga Nos,2010,2010/2011
SL Benfica,Élvis,20,Attacking Midfield,Paraná,Free transfer,in,Brazil;,NA,Liga Nos,2010,2010/2011
SL Benfica,Leonardo da Silva,23,Central Midfield,Cruzeiro-RS,?,in,Brazil;,NA,Liga Nos,2010,2010/2011
SL Benfica,Ishmael Yartey,21,Left Winger,Fátima,"End of loanJan 28, 2011",in,Ghana;Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Marcel,29,Centre-Forward,Santos FC,"End of loanDec 1, 2010",in,Brazil;,0,Liga Nos,2010,2010/2011
SL Benfica,Marcel,29,Centre-Forward,Vasco da Gama,"End of loanFeb 1, 2011",in,Brazil;,0,Liga Nos,2010,2010/2011
SL Benfica,Abel Pereira,20,Centre-Back,Fátima,"End of loanDec 1, 2010",in,Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Saná Camará,18,Central Midfield,Benfica U19,-,in,Guinea-Bissau;Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Patric,21,Right-Back,Avaí FC,"End of loanDec 31, 2010",in,Brazil;,0,Liga Nos,2010,2010/2011
SL Benfica,Rafael Costa,20,Central Midfield,Fátima,"End of loanFeb 1, 2011",in,Brazil;Italy;,0,Liga Nos,2010,2010/2011
SL Benfica,Jan Oblak,17,Goalkeeper,Beira-Mar,"End of loanDec 31, 2010",in,Slovenia;,0,Liga Nos,2010,2010/2011
SL Benfica,Freddy Adu,21,Attacking Midfield,Aris Saloniki,"End of loanDec 31, 2010",in,United States;Ghana;,0,Liga Nos,2010,2010/2011
SL Benfica,Jonathan Urretaviscaya,20,Right Winger,Dep. La Coruña,"End of loanDec 31, 2010",in,Uruguay;Spain;,0,Liga Nos,2010,2010/2011
SL Benfica,Abel Pereira,20,Centre-Back,Gondomar,"End of loanDec 1, 2010",in,Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Roderick Miranda,19,Centre-Back,Benfica U19,-,in,Portugal;Brazil;,0,Liga Nos,2010,2010/2011
SL Benfica,Ariza Makukula,29,Centre-Forward,Kayserispor,"End of loanJun 30, 2010",in,Portugal;DR Congo;,0,Liga Nos,2010,2010/2011
SL Benfica,Adriano,19,Right Winger,Atlético CP,"End of loanJun 30, 2010",in,Brazil;,0,Liga Nos,2010,2010/2011
SL Benfica,Leandro Pimenta,19,Central Midfield,Beira-Mar,"End of loanJun 30, 2010",in,Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Hassan Yebda,26,Central Midfield,Portsmouth,"End of loanJun 30, 2010",in,Algeria;France;,0,Liga Nos,2010,2010/2011
SL Benfica,José Shaffer,25,Left-Back,CA Banfield,"End of loanJun 30, 2010",in,Argentina;,0,Liga Nos,2010,2010/2011
SL Benfica,Rafik Halliche,23,Centre-Back,Nacional,"End of loanJun 30, 2010",in,Algeria;,0,Liga Nos,2010,2010/2011
SL Benfica,Romeu Ribeiro,21,Defensive Midfield,Trofense,"End of loanJun 30, 2010",in,Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Rúben Lima,20,Left-Back,Vitória Setúbal,"End of loanJun 30, 2010",in,Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Ivan Santos,21,Left Midfield,Atlético CP,"End of loanJun 30, 2010",in,Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Ishmael Yartey,20,Left Winger,Beira-Mar,"End of loanJun 30, 2010",in,Ghana;Portugal;,0,Liga Nos,2010,2010/2011
SL Benfica,Hélio Vaz,19,Right Winger,Tondela,"End of loanJun 30, 2010",in,Portugal;,0,Liga Nos,2010,2010/2011
