club_name,player_name,age,position,club_involved_name,fee,transfer_movement,nat,fee_cleaned,league_name,year,season
Atlético Madrid,Christian Vieri,23,Centre-Forward,Juventus,£15.80m,in,Italy;Australia;,15.8,Primera Division,1997,1997/1998
Atlético Madrid,Paulo Futre,31,Left Winger,West Ham,Free transfer,in,Portugal;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Avi Nimni,25,Attacking Midfield,M. Tel Aviv,?,in,Israel;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Jordi Lardín,24,Left Winger,Espanyol,?,in,Spain;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Rade Bogdanovic,27,Centre-Forward,JEF Utd. Chiba,?,in,Serbia;,NA,Primera Division,1997,1997/1998
Atlético Madrid,José Mari,18,Centre-Forward,Sevilla B,?,in,Spain;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Ramón,22,Centre-Back,Real Valladolid,?,in,Spain;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Pedro Luis Jaro,34,Goalkeeper,Real Betis,?,in,Spain;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Andrei Frascarelli,24,Defender,Atlético-PR,?,in,Brazil;Italy;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Iván Rocha,29,Left-Back,RCD Mallorca,"End of loanJul 1, 1998",in,Brazil;,0,Primera Division,1997,1997/1998
Atlético Madrid,Santiago Ezquerro,21,Centre-Forward,RCD Mallorca,Loan,out,Spain;,0,Primera Division,1997,1997/1998
Atlético Madrid,Yordi,22,Centre-Forward,Real Zaragoza,?,out,Spain;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Juan Carlos,24,Forward,Real Valladolid,?,out,Spain;,NA,Primera Division,1997,1997/1998
Atlético Madrid,Rade Bogdanovic,27,Centre-Forward,NAC Breda,Loan,out,Serbia;,0,Primera Division,1997,1997/1998
Atlético Madrid,Roberto,24,Central Midfield,Espanyol,?,out,Spain;,NA,Primera Division,1997,1997/1998
